Id;Name;Align;Alive;First appearance;
1;Spider-man;Good Character;Living Characters;1962;
2;Captain America;Good Character;Living Characters;1941;
3;Thor;Good Character;Living Characters;1950;
4;Benjamin Grimm;Good Character;Living Characters;1961;
5;Reed Richards;Bad Character;Living Characters;1961;
6;Hulk;Good Character;Living Characters;1962;
7;Scott Summers;Neutral Character;Living Characters;1963;
8;Jonathan Storm;Good Character;Living Characters;1961;
9;Henry McCoy;Bad Character;Living Characters;1963;
10;Victor von Doom;Bad Character;Living Characters;1965;
