lol,MS_NUM_BIRTHS,MS_NUM_TEST
2008-01-01,231,212
2008-01-02,334,142
2008-01-03,409,435
2008-01-04,429,578
2008-01-05,278,763
2008-01-06,237,352
2008-01-07,398,245
2008-01-08,441,24
2008-01-09,380,248
2008-01-10,415,678
2008-01-11,386,272
2008-01-12,229,297
2008-01-13,221,367
2008-01-14,413,417
2008-01-15,427,361
2008-01-16,426,392
2008-01-17,395,390
2008-01-18,461,225
2008-01-19,266,251
2008-01-20,213,400
2008-01-21,367,412
2008-01-22,417,408
2008-01-23,361,410
2008-01-24,392,421
2008-01-25,390,201
2008-01-26,225,231
2008-01-27,251,334
2008-01-28,400,409
2008-01-29,412,429
2008-01-30,408,278
2008-01-31,410,237
2008-02-01,421,398
2008-02-02,201,441
2008-02-03,225,380
2008-02-04,354,415
2008-02-05,417,386
2008-02-06,337,229
2008-02-07,364,221
2008-02-08,380,373
2008-02-09,212,236
2008-02-10,214,222
2008-02-11,403,361
2008-02-12,414,445
2008-02-13,397,386
2008-02-14,383,451
2008-02-15,374,441
2008-02-16,221,232
2008-02-17,226,183
2008-02-18,408,236
2008-02-19,412,341
2008-02-20,397,384
2008-02-21,398,401
2008-02-22,385,371
2008-02-23,231,221
2008-02-24,187,217
2008-02-25,390,348
2008-02-26,454,351
2008-02-27,354,351
2008-02-28,431,392
2008-02-29,342,381
2008-03-01,211,222
2008-03-02,216,241
2008-03-03,422,409
2008-03-04,414,452
2008-03-05,381,394
2008-03-06,411,465
2008-03-07,373,410
2008-03-08,220,259
2008-03-09,239,234
2008-03-10,394,384
2008-03-11,407,413
2008-03-12,391,417
2008-03-13,377,428
2008-03-14,373,432
2008-03-15,236,224
2008-03-16,222,246
2008-03-17,361,389
2008-03-18,445,439
2008-03-19,386,400
2008-03-20,451,407
2008-03-21,441,413
2008-03-22,232,245
2008-03-23,183,239
2008-03-24,236,412
2008-03-25,341,467
2008-03-26,384,416
2008-03-27,401,243
2008-03-28,371,279
2008-03-29,221,252
2008-03-30,217,239
2008-03-31,348,431
2008-04-01,351,405
2008-04-02,351,405
2008-04-03,392,433
2008-04-04,381,433
2008-04-05,222,226
2008-04-06,241,232
2008-04-07,409,237
2008-04-08,452,427
2008-04-09,394,430
2008-04-10,465,446
2008-04-11,410,415
2008-04-12,259,241
2008-04-13,234,227
2008-04-14,384,386
2008-04-15,413,399
2008-04-16,417,417
2008-04-17,428,445
2008-04-18,432,402
2008-04-19,224,243
2008-04-20,246,394
2008-04-21,389,409
2008-04-22,439,381
2008-04-23,400,455
2008-04-24,407,448
2008-04-25,413,268
2008-04-26,245,251
2008-04-27,239,270
2008-04-28,412,416
2008-04-29,467,445
2008-04-30,416,424
2008-05-01,243,382
2008-05-02,279,233
2008-05-03,252,239
2008-05-04,239,383
2008-05-05,431,440
2008-05-06,405,392
2008-05-07,405,442
2008-05-08,433,428
2008-05-09,433,233
2008-05-10,226,266
2008-05-11,232,407
2008-05-12,237,416
2008-05-13,427,425
2008-05-14,430,431
2008-05-15,446,410
2008-05-16,415,225
2008-05-17,241,268
2008-05-18,227,417
2008-05-19,386,403
2008-05-20,399,408
2008-05-21,417,420
2008-05-22,445,250
2008-05-23,402,202
2008-05-24,238,247
2008-05-25,237,366
2008-05-26,394,395
2008-05-27,398,419
2008-05-28,377,387
2008-05-29,357,378
2008-05-30,392,229
2008-05-31,232,215
2008-06-01,246,405
2008-06-02,379,404
2008-06-03,431,382
2008-06-04,380,408
2008-06-05,386,389
2008-06-06,372,243
2008-06-07,226,227
2008-06-08,264,374
2008-06-09,399,398
2008-06-10,441,379
2008-06-11,405,403
2008-06-12,417,434
2008-06-13,400,226
2008-06-14,239,223
2008-06-15,224,394
2008-06-16,390,402
2008-06-17,439,392
2008-06-18,393,413
2008-06-19,419,413
2008-06-20,421,239
2008-06-21,229,239
2008-06-22,249,403
2008-06-23,411,418
2008-06-24,437,374
2008-06-25,408,406
2008-06-26,440,420
2008-06-27,412,231
2008-06-28,237,227
2008-06-29,229,368
2008-06-30,392,446
2008-07-01,427,425
2008-07-02,417,363
2008-07-03,416,403
2008-07-04,424,224
2008-07-05,257,243
2008-07-06,243,395
2008-07-07,364,449
2008-07-08,433,424
2008-07-09,382,362
2008-07-10,455,372
2008-07-11,377,224
2008-07-12,213,245
2008-07-13,246,353
2008-07-14,389,389
2008-07-15,421,401
2008-07-16,412,391
2008-07-17,463,418
2008-07-18,447,208
2008-07-19,256,228
2008-07-20,256,373
2008-07-21,280,395
2008-07-22,414,380
2008-07-23,454,406
2008-07-24,460,370
2008-07-25,462,220
2008-07-26,271,221
2008-07-27,240,371
2008-07-28,450,377
2008-07-29,431,366
2008-07-30,414,379
2008-07-31,416,382
2008-08-01,435,231
2008-08-02,231,203
2008-08-03,219,326
2008-08-04,404,381
2008-08-05,415,349
2008-08-06,374,338
2008-08-07,448,366
2008-08-08,448,220
2008-08-09,205,215
2008-08-10,241,359
2008-08-11,398,388
2008-08-12,424,363
2008-08-13,384,384
2008-08-14,434,393
2008-08-15,249,198
2008-08-16,242,214
2008-08-17,238,385
2008-08-18,401,222
2008-08-19,442,380
2008-08-20,415,393
2008-08-21,426,390
2008-08-22,356,227
2008-08-23,222,235
2008-08-24,216,376
2008-08-25,374,400
2008-08-26,405,349
2008-08-27,404,379
2008-08-28,398,386
2008-08-29,340,226
2008-08-30,225,215
2008-08-31,247,363
2008-09-01,394,378
2008-09-02,439,370
2008-09-03,387,398
2008-09-04,405,377
2008-09-05,399,197
2008-09-06,225,220
2008-09-07,240,351
2008-09-08,384,393
2008-09-09,411,331
2008-09-10,405,353
2008-09-11,394,323
2008-09-12,402,212
2008-09-13,214,224
2008-09-14,216,357
2008-09-15,409,380
2008-09-16,418,381
2008-09-17,409,386
2008-09-18,399,399
2008-09-19,443,213
2008-09-20,257,214
2008-09-21,252,307
2008-09-22,419,376
2008-09-23,451,375
2008-09-24,403,443
2008-09-25,399,423
2008-09-26,438,247
2008-09-27,237,208
2008-09-28,242,378
2008-09-29,431,427
2008-09-30,438,319
2008-10-01,416,199
2008-10-02,402,336
2008-10-03,362,218
2008-10-04,228,197
2008-10-05,214,354
2008-10-06,404,365
2008-10-07,429,261
2008-10-08,405,210
2008-10-09,386,354
2008-10-10,381,227
2008-10-11,221,206
2008-10-12,218,389
2008-10-13,407,403
2008-10-14,395,353
2008-10-15,404,370
2008-10-16,375,394
2008-10-17,403,218
2008-10-18,227,240
2008-10-19,206,367
2008-10-20,373,364
2008-10-21,446,377
2008-10-22,401,397
2008-10-23,452,368
2008-10-24,412,239
2008-10-25,238,230
2008-10-26,244,343
2008-10-27,351,405
2008-10-28,421,399
2008-10-29,361,349
2008-10-30,344,358
2008-10-31,369,230
2008-11-01,204,236
2008-11-02,211,407
2008-11-03,387,360
2008-11-04,408,345
2008-11-05,427,363
2008-11-06,413,347
2008-11-07,417,241
2008-11-08,234,223
2008-11-09,234,378
2008-11-10,392,363
2008-11-11,236,408
2008-11-12,412,339
2008-11-13,380,374
2008-11-14,413,232
2008-11-15,214,209
2008-11-16,204,367
2008-11-17,401,384
2008-11-18,392,362
2008-11-19,394,406
2008-11-20,408,417
2008-11-21,391,214
2008-11-22,227,234
2008-11-23,239,334
2008-11-24,405,361
2008-11-25,413,341
2008-11-26,365,330
2008-11-27,374,356
2008-11-28,361,254
2008-11-29,218,224
2008-11-30,225,345
2008-12-01,398,405
2008-12-02,385,319
2008-12-03,347,355
2008-12-04,362,346
2008-12-05,355,225
2008-12-06,225,210
2008-12-07,231,367
2008-12-08,335,395
2008-12-09,366,380
2008-12-10,405,387
2008-12-11,365,397
2008-12-12,368,244
2008-12-13,199,189
2008-12-14,215,361
2008-12-15,419,383
2008-12-16,439,347
2008-12-17,415,392
2008-12-18,419,368
2008-12-19,438,221
2008-12-20,218,209
2008-12-21,231,333
2008-12-22,374,390
2008-12-23,444,360
2008-12-24,289,357
2008-12-25,235,395
2008-12-26,365,208
2008-12-27,230,199
2008-12-28,251,366
2008-12-29,385,399
2008-12-30,378,340
2008-12-31,278,363
2009-01-01,214,324
2009-01-02,322,188
2009-01-03,245,209
2009-01-04,255,409
2009-01-05,407,408
2009-01-06,405,336
2009-01-07,372,388
2009-01-08,399,424
2009-01-09,409,233
2009-01-10,230,219
2009-01-11,208,240
2009-01-12,388,354
2009-01-13,398,338
2009-01-14,389,369
2009-01-15,377,382
2009-01-16,402,210
2009-01-17,251,205
2009-01-18,278,337
2009-01-19,401,378
2009-01-20,452,373
2009-01-21,386,376
2009-01-22,411,361
